code,name,shares,weight
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),205000,5.91
MU US,MICRON TECHNOLOGY INC,108569,5.69
009150 KS,Samsung Electro-Mechanics co(009150 ks),83000,4.39
AMAT US,APPLIED MATERIALS INC,135000,4.06
6981 JP,MURATA MANUFACTURING CO LTD,1350000,3.9
3037,欣興,2400000,3.67
2383,台光電,410000,3.56
285A JP,KIOXIA HOLDINGS CORP,180000,3.5
BE US,BLOOM ENERGY CORP- A,310000,3.4
LITE US,LUMENTUM HOLDINGS INC,77000,3.19
2330,台積電,750000,3.18
2454,聯發科,445000,2.96
SNDK US,SANDISK CORP,35000,2.61
IFX GY,INFINEON TECHNOLOGIES AG,625000,2.55
6976 JP,TAIYO YUDEN CO LTD,600000,2.47
8035 JP,TOKYO ELECTRON LTD,110000,2.46
TSEM US,TOWER SEMICONDUCTOR LTD,186825,2.44
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,200000,2.42
WDC US,WESTERN DIGITAL CORP,80000,2.32
2327,國巨*,1800000,2.03
6920 JP,LASERTEC CORP,130000,2.02
3711,日月光投控,1800000,1.98
6223,旺矽,190000,1.96
6871 JP,MICRONICS JAPAN CO LTD,370000,1.95
KLAC US,KLA CORP,160000,1.9
FTNT US,FORTINET INC,200000,1.78
3665,貿聯-KY,440000,1.71
NOW US,SERVICENOW INC,270000,1.66
PANW US,PALO ALTO NETWORKS INC,90000,1.66
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.45
MRVL US,MARVELL TECHNOLOGY INC,130000,1.43
VECO US,VEECO INSTRUMENTS INC,500000,1.41
2308,台達電,320000,1.01
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,899909,0.86
LMT US,LOCKHEED MARTIN CORP,25000,0.84
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,189988,0.68
3436 JP,SUMCO CORP,500000,0.67
2303,聯電,2500000,0.57
AIXA GY,AIXTRON SE,200000,0.51
3017,奇鋐,115000,0.5
4062 JP,IBIDEN CO LTD,60000,0.36
AEHR US,AEHR TEST SYSTEMS,10459,0.05
